company_name,s1_filings_count
VENERABLE INSURANCE & ANNUITY Co,39
Teucrium Commodity Trust,35
ProShares Trust II,31
ALLIANZ LIFE INSURANCE CO OF NORTH AMERICA,30
LINCOLN BENEFIT LIFE CO,26
TIAA REAL ESTATE ACCOUNT,26
MASSMUTUAL ASCEND LIFE INSURANCE CO,24
UNION SECURITY INSURANCE CO,22
GRAYBAR ELECTRIC CO INC,22
Phio Pharmaceuticals Corp.,20
MEMBERS Life Insurance Co,20
NATIONWIDE LIFE INSURANCE CO,19
American Bar Association Members/MTC Collective Trust,19
Everlake Life Insurance Co,18
"GeoVax Labs, Inc.",18
EQUITABLE FINANCIAL LIFE INSURANCE CO OF AMERICA,18
"Nuwellis, Inc.",17
Empower Annuity Insurance Co of America,17
"SOLIGENIX, INC.",16
"Cellectar Biosciences, Inc.",16
CAMPBELL STRATEGIC ALLOCATION FUND LP,15
GUIDED THERAPEUTICS INC,15
PROTECTIVE LIFE INSURANCE CO,15
IMAGING DIAGNOSTIC SYSTEMS INC /FL/,15
BRIGHTHOUSE LIFE INSURANCE Co,15
"Vislink Technologies, Inc.",14
"Fibrocell Science, Inc.",14
"PLUS THERAPEUTICS, INC.",14
"KNOW LABS, INC.",14
VOYA RETIREMENT INSURANCE & ANNUITY Co,13
ALLIANZ LIFE INSURANCE CO OF NEW YORK,13
"ATOSSA THERAPEUTICS, INC.",13
NEPHROS INC,13
"MPHASE TECHNOLOGIES, INC.",13
"Rebus Holdings, Inc.",13
"PRECISION OPTICS CORPORATION, INC.",13
GENEREX BIOTECHNOLOGY CORP,13
"Sonnet BioTherapeutics Holdings, Inc.",13
"Creatd, Inc.",12
SunGard Business Systems LLC,12
Datavault AI Inc.,12
TALCOTT RESOLUTION LIFE INSURANCE CO,12
"Imunon, Inc.",12
"Jaguar Health, Inc.",12
CEL SCI CORP,12
UNION SECURITY LIFE INSURANCE CO OF NEW YORK,12
"Propanc Biopharma, Inc.",12
PHL VARIABLE INSURANCE CO /CT/,12
ADVANCED VIRAL RESEARCH CORP,12
"Panbela Therapeutics, Inc.",12
"NovaBay Pharmaceuticals, Inc.",12
BIOCEPT INC,11
AgEagle Aerial Systems Inc.,11
POSITIVEID Corp,11
1847 Holdings LLC,11
BIO KEY INTERNATIONAL INC,11
"VIVEVE MEDICAL, INC.",11
"AYTU BIOPHARMA, INC",11
EAGLE BROADBAND INC,11
"Citius Pharmaceuticals, Inc.",11
LIBERTY STAR URANIUM & METALS CORP.,11
PARKERVISION INC,11
SAGE LIFE ASSURANCE OF AMERICA INC,11
"FiEE, Inc.",10
"SANUWAVE Health, Inc.",10
UNIGENE LABORATORIES INC,10
"Precipio, Inc.",10
SOLENO THERAPEUTICS INC,10
Rise Gold Corp.,10
"CLS Holdings USA, Inc.",10
SAFE & GREEN HOLDINGS CORP.,10
"iBio, Inc.",10
