month,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,4,12,6,64,39,43,92,30,22,4,18,26,28,45,45,87,65,61,48,77,90,57,77,39,58,34,71,201,93,62,87,101
2,1,1,10,66,57,52,106,26,20,37,44,54,40,35,133,55,85,73,57,60,228,70,38,67,51,44,53,286,70,55,52,70
3,3,4,7,81,84,67,155,22,39,10,75,27,56,44,89,67,82,110,192,91,120,82,58,84,59,60,59,292,63,56,47,51
4,7,3,12,56,108,83,107,45,36,14,278,50,73,132,200,215,257,264,187,65,85,87,57,75,79,76,61,157,93,71,111,0
5,0,5,94,52,102,98,88,42,37,18,114,61,185,82,242,233,142,167,85,155,100,77,49,93,106,90,66,122,72,60,65,0
6,4,10,129,92,111,69,59,20,28,50,122,49,121,79,109,43,104,112,102,77,87,87,84,69,62,67,113,285,71,85,120,0
7,3,1,78,58,77,77,58,40,35,20,57,56,148,180,106,68,75,112,59,122,117,74,47,38,56,57,106,164,60,64,66,0
8,1,11,122,99,64,75,52,31,109,29,57,57,49,71,69,49,98,86,81,88,78,65,54,59,72,61,103,128,77,56,68,0
9,3,5,99,96,67,89,69,18,23,28,36,42,43,71,73,86,83,159,86,87,98,64,68,65,72,68,148,155,98,65,78,0
10,0,9,109,142,16,61,51,63,18,79,58,32,68,42,94,70,133,106,48,81,83,71,47,65,65,53,135,163,63,73,87,0
11,3,5,62,59,34,61,31,16,11,27,27,32,46,37,54,54,73,59,65,80,80,51,56,68,58,47,108,152,64,77,66,0
12,2,8,73,97,61,91,30,23,41,39,35,50,40,59,83,120,91,91,56,87,78,54,71,61,54,40,144,127,67,78,89,0
